pair_id,lexical_family,template_family_id,fact_math_correct,identical_context_confirmed,single_feature_change_confirmed,natural_grammar,relevance_labels_correct,answer_exposure_equal,cross_fact_answer_copy_shortcut,reviewer_id,review_status,comments,satisfies_independent_human_gate
cal_decrease_00_00_00,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_00_01,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_01_00,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_01_01,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_02_00,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_02_01,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_03_00,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_00_03_01,decrease,dec_marbles_gave_away,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_00_00,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_00_01,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_01_00,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_01_01,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_02_00,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_02_01,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_03_00,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_01_03_01,decrease,dec_stickers_lost,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_00_00,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_00_01,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_01_00,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_01_01,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_02_00,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_02_01,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
cal_decrease_02_03_00,decrease,dec_books_donated,YES,YES,YES,YES,YES,YES,PRESENT,codex_ai_preaudit_nonhuman,AI_PREAUDIT_NEEDS_REVISION,Relevant answer is copied verbatim in the matched direct fact; the model can emit the correct answer without applying the intended transformation.,NO
