pair_id,lexical_family,template_family_id,frame_index,arithmetic_operation,selector_active_entry,arithmetic_answer_and_wrong_operation_foil_correct,selector_answer_and_competing_entry_foil_correct,operation_word_and_direction_unambiguous,selector_tag_entry_binding_unambiguous,matched_label_case_key_ledger_paths_valid,identical_context_and_prompt_contract,question_target_only_change,within_condition_exposure_contract,arithmetic_transformation_required,selector_matched_retrieval_required,numeric_collision_and_shortcut_absence,one_numeral_output_instruction_clear,frozen_oa_row_and_metadata_consistent,automatic_pair_checks_all_pass,natural_grammar_and_semantic_clarity,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv3_object_count_00_f01,object_count,v3_obj_lantern_dossier,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f02,object_count,v3_obj_lantern_dossier,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f03,object_count,v3_obj_lantern_dossier,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f04,object_count,v3_obj_lantern_dossier,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f05,object_count,v3_obj_lantern_dossier,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f06,object_count,v3_obj_lantern_dossier,6,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f07,object_count,v3_obj_lantern_dossier,7,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_00_f08,object_count,v3_obj_lantern_dossier,8,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f01,object_count,v3_obj_scarf_registry,1,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f02,object_count,v3_obj_scarf_registry,2,add,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f03,object_count,v3_obj_scarf_registry,3,subtract,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f04,object_count,v3_obj_scarf_registry,4,subtract,2,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
calv3_object_count_01_f05,object_count,v3_obj_scarf_registry,5,add,1,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_audit_nonhuman_v3_20260830,AI_AUDIT_PASS,,NO
