pair_id,lexical_family,template_family_id,answer_orientation,label_orientation,sentence_order,fact_math_correct,identical_context_confirmed,question_target_only_change,relevant_transformation_required,irrelevant_direct_retrieval_valid,answer_copy_shortcut_absent,paired_alternatives_correct,answer_and_foil_collision_absent,natural_grammar_and_unambiguous_meaning,accepted_answers_prespecified_and_coherent,automatic_pair_checks_all_pass,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv2_decrease_00_ans0_label0_order0,decrease,v2_dec_marbles_gave_away,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans0_label0_order1,decrease,v2_dec_marbles_gave_away,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans0_label1_order0,decrease,v2_dec_marbles_gave_away,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans0_label1_order1,decrease,v2_dec_marbles_gave_away,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans1_label0_order0,decrease,v2_dec_marbles_gave_away,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans1_label0_order1,decrease,v2_dec_marbles_gave_away,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans1_label1_order0,decrease,v2_dec_marbles_gave_away,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_00_ans1_label1_order1,decrease,v2_dec_marbles_gave_away,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans0_label0_order0,decrease,v2_dec_stickers_lost,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans0_label0_order1,decrease,v2_dec_stickers_lost,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans0_label1_order0,decrease,v2_dec_stickers_lost,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans0_label1_order1,decrease,v2_dec_stickers_lost,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans1_label0_order0,decrease,v2_dec_stickers_lost,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans1_label0_order1,decrease,v2_dec_stickers_lost,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans1_label1_order0,decrease,v2_dec_stickers_lost,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_01_ans1_label1_order1,decrease,v2_dec_stickers_lost,B_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans0_label0_order0,decrease,v2_dec_books_donated,A_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans0_label0_order1,decrease,v2_dec_books_donated,A_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans0_label1_order0,decrease,v2_dec_books_donated,A_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans0_label1_order1,decrease,v2_dec_books_donated,A_to_relevant,1,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans1_label0_order0,decrease,v2_dec_books_donated,B_to_relevant,0,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans1_label0_order1,decrease,v2_dec_books_donated,B_to_relevant,0,transformed_then_direct,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
calv2_decrease_02_ans1_label1_order0,decrease,v2_dec_books_donated,B_to_relevant,1,direct_then_transformed,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2,AI_PREAUDIT_PASS,,NO
