pair_id,lexical_family,template_family_id,answer_orientation,label_record_role_orientation,record_block_order,arithmetic_answer_correct,identical_context_and_prompt_contract,question_target_only_change,matched_keyed_retrieval_structure,relevant_transformation_required,irrelevant_direct_retrieval_valid,answer_copy_shortcut_absent,paired_alternative_orientation_correct,one_token_output_instruction_clear,automatic_pair_checks_all_pass,natural_grammar_and_unambiguous_change_direction,reviewer_id,review_status,comments,satisfies_independent_human_gate
calv211_decrease_00_ans0_role0_order0,decrease,v21_dec_bead_archive,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans0_role0_order1,decrease,v21_dec_bead_archive,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans0_role1_order0,decrease,v21_dec_bead_archive,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans0_role1_order1,decrease,v21_dec_bead_archive,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans1_role0_order0,decrease,v21_dec_bead_archive,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans1_role0_order1,decrease,v21_dec_bead_archive,B_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans1_role1_order0,decrease,v21_dec_bead_archive,B_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_00_ans1_role1_order1,decrease,v21_dec_bead_archive,B_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans0_role0_order0,decrease,v21_dec_token_ledger,A_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans0_role0_order1,decrease,v21_dec_token_ledger,A_to_relevant,0,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans0_role1_order0,decrease,v21_dec_token_ledger,A_to_relevant,1,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans0_role1_order1,decrease,v21_dec_token_ledger,A_to_relevant,1,transformed_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
calv211_decrease_01_ans1_role0_order0,decrease,v21_dec_token_ledger,B_to_relevant,0,direct_block_first,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,codex_ai_preaudit_nonhuman_v2_1_1,AI_PREAUDIT_PASS,,NO
