pair_id,lexical_family,template_family_id,counterbalance_frame_id,item_instantiation_index,context,relevant_question,irrelevant_question,canonical_answer,prespecified_foils,prompt_token_count_relevant,prompt_token_count_irrelevant,auto_checks_pass,fact_math_correct,identical_context_confirmed,single_feature_change_confirmed,natural_grammar,relevance_labels_correct,answer_exposure_equal,reviewer_id,review_status,comments
cal_decrease_00_00_00,decrease,dec_marbles_gave_away,colors_a_forward,0,Ava has 5 red marbles. Ava had 8 blue marbles and gave away 3 blue marbles.,How many blue marbles does Ava have now?,How many red marbles does Ava have now?,5,8|3|11,40,40,True,,,,,,,,PENDING,
cal_decrease_00_00_01,decrease,dec_marbles_gave_away,colors_a_forward,1,Liam has 4 red marbles. Liam had 9 blue marbles and gave away 5 blue marbles.,How many blue marbles does Liam have now?,How many red marbles does Liam have now?,4,9|5|14,40,40,True,,,,,,,,PENDING,
cal_decrease_00_01_00,decrease,dec_marbles_gave_away,colors_a_reverse,0,Ava has 5 blue marbles. Ava had 8 red marbles and gave away 3 red marbles.,How many red marbles does Ava have now?,How many blue marbles does Ava have now?,5,8|3|11,40,40,True,,,,,,,,PENDING,
cal_decrease_00_01_01,decrease,dec_marbles_gave_away,colors_a_reverse,1,Liam has 4 blue marbles. Liam had 9 red marbles and gave away 5 red marbles.,How many red marbles does Liam have now?,How many blue marbles does Liam have now?,4,9|5|14,40,40,True,,,,,,,,PENDING,
cal_decrease_00_02_00,decrease,dec_marbles_gave_away,colors_b_forward,0,Nora has 8 green marbles. Nora had 10 black marbles and gave away 2 black marbles.,How many black marbles does Nora have now?,How many green marbles does Nora have now?,8,10|2|12,40,40,True,,,,,,,,PENDING,
cal_decrease_00_02_01,decrease,dec_marbles_gave_away,colors_b_forward,1,Owen has 7 green marbles. Owen had 11 black marbles and gave away 4 black marbles.,How many black marbles does Owen have now?,How many green marbles does Owen have now?,7,11|4|15,40,40,True,,,,,,,,PENDING,
cal_decrease_00_03_00,decrease,dec_marbles_gave_away,colors_b_reverse,0,Nora has 8 black marbles. Nora had 10 green marbles and gave away 2 green marbles.,How many green marbles does Nora have now?,How many black marbles does Nora have now?,8,10|2|12,40,40,True,,,,,,,,PENDING,
cal_decrease_00_03_01,decrease,dec_marbles_gave_away,colors_b_reverse,1,Owen has 7 black marbles. Owen had 11 green marbles and gave away 4 green marbles.,How many green marbles does Owen have now?,How many black marbles does Owen have now?,7,11|4|15,40,40,True,,,,,,,,PENDING,
cal_decrease_01_00_00,decrease,dec_stickers_lost,colors_a_forward,0,Maya owns 10 red stickers. Maya started with 12 blue stickers but lost 2 blue stickers.,How many blue stickers does Maya own now?,How many red stickers does Maya own now?,10,12|2|14,36,36,True,,,,,,,,PENDING,
cal_decrease_01_00_01,decrease,dec_stickers_lost,colors_a_forward,1,Noah owns 10 red stickers. Noah started with 13 blue stickers but lost 3 blue stickers.,How many blue stickers does Noah own now?,How many red stickers does Noah own now?,10,13|3|16,36,36,True,,,,,,,,PENDING,
