pair_id,lexical_family,template_family_id,answer_orientation,label_record_role_orientation,record_block_order,context,relevant_question,irrelevant_question,operation,start,delta,relevant_answer,irrelevant_answer,direct_attribute,transformed_attribute,direct_record_key,transformed_record_key,output_instruction,arithmetic_answer_correct,direct_answer_correct,label_key_record_binding_clear,relevant_transformation_required,irrelevant_keyed_retrieval_valid,answer_copy_shortcut_absent,question_target_only_change,natural_grammar_and_unambiguous_direction,counterbalance_counterpart_equivalent,output_instruction_clear,reviewer_id,review_status,comments
calv211_decrease_00_ans0_role0_order0,decrease,v21_dec_bead_archive,A_to_relevant,0,direct_block_first,Aria's red bead count is indexed by record Echo. Record Echo reports a current count of 49 beads. Aria's blue bead count is indexed by record Silver. Record Silver reports 48 beads before 4 were removed.,What is Aria's current blue bead count?,What is Aria's current red bead count?,subtract,48,4,44,49,red,blue,Echo,Silver,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans0_role0_order1,decrease,v21_dec_bead_archive,A_to_relevant,0,transformed_block_first,Aria's blue bead count is indexed by record Silver. Record Silver reports 48 beads before 4 were removed. Aria's red bead count is indexed by record Echo. Record Echo reports a current count of 49 beads.,What is Aria's current blue bead count?,What is Aria's current red bead count?,subtract,48,4,44,49,red,blue,Echo,Silver,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans0_role1_order0,decrease,v21_dec_bead_archive,A_to_relevant,1,direct_block_first,Aria's blue bead count is indexed by record Silver. Record Silver reports a current count of 49 beads. Aria's red bead count is indexed by record Echo. Record Echo reports 48 beads before 4 were removed.,What is Aria's current red bead count?,What is Aria's current blue bead count?,subtract,48,4,44,49,blue,red,Silver,Echo,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans0_role1_order1,decrease,v21_dec_bead_archive,A_to_relevant,1,transformed_block_first,Aria's red bead count is indexed by record Echo. Record Echo reports 48 beads before 4 were removed. Aria's blue bead count is indexed by record Silver. Record Silver reports a current count of 49 beads.,What is Aria's current red bead count?,What is Aria's current blue bead count?,subtract,48,4,44,49,blue,red,Silver,Echo,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans1_role0_order0,decrease,v21_dec_bead_archive,B_to_relevant,0,direct_block_first,Aria's red bead count is indexed by record Echo. Record Echo reports a current count of 44 beads. Aria's blue bead count is indexed by record Silver. Record Silver reports 53 beads before 4 were removed.,What is Aria's current blue bead count?,What is Aria's current red bead count?,subtract,53,4,49,44,red,blue,Echo,Silver,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans1_role0_order1,decrease,v21_dec_bead_archive,B_to_relevant,0,transformed_block_first,Aria's blue bead count is indexed by record Silver. Record Silver reports 53 beads before 4 were removed. Aria's red bead count is indexed by record Echo. Record Echo reports a current count of 44 beads.,What is Aria's current blue bead count?,What is Aria's current red bead count?,subtract,53,4,49,44,red,blue,Echo,Silver,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans1_role1_order0,decrease,v21_dec_bead_archive,B_to_relevant,1,direct_block_first,Aria's blue bead count is indexed by record Silver. Record Silver reports a current count of 44 beads. Aria's red bead count is indexed by record Echo. Record Echo reports 53 beads before 4 were removed.,What is Aria's current red bead count?,What is Aria's current blue bead count?,subtract,53,4,49,44,blue,red,Silver,Echo,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_00_ans1_role1_order1,decrease,v21_dec_bead_archive,B_to_relevant,1,transformed_block_first,Aria's red bead count is indexed by record Echo. Record Echo reports 53 beads before 4 were removed. Aria's blue bead count is indexed by record Silver. Record Silver reports a current count of 44 beads.,What is Aria's current red bead count?,What is Aria's current blue bead count?,subtract,53,4,49,44,blue,red,Silver,Echo,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans0_role0_order0,decrease,v21_dec_token_ledger,A_to_relevant,0,direct_block_first,"For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 58 tokens currently. For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 41 tokens before 7 were used.",How many blue tokens are currently in Caleb's inventory?,How many red tokens are currently in Caleb's inventory?,subtract,41,7,34,58,red,blue,Reed,Juniper,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
calv211_decrease_01_ans0_role0_order1,decrease,v21_dec_token_ledger,A_to_relevant,0,transformed_block_first,"For Caleb, the blue token inventory points to ledger Juniper. Ledger Juniper lists 41 tokens before 7 were used. For Caleb, the red token inventory points to ledger Reed. Ledger Reed lists 58 tokens currently.",How many blue tokens are currently in Caleb's inventory?,How many red tokens are currently in Caleb's inventory?,subtract,41,7,34,58,red,blue,Reed,Juniper,Answer with one Arabic numeral only.,,,,,,,,,,,,PENDING,
